name,roomname,homepage,location,price,ranking,info_bathroom,info_bedroom,info_bogcheung,info_caravan,info_cook,info_crushedstone,info_deck,info_doubleroom,info_familyroom,info_glamping,info_grass,info_menonly,info_oceanview,info_ondolroom,info_organization,info_partyroom,info_pension,info_poolvilla,info_privatebbq,info_privatehouse,info_singlebed,info_spa,info_terrace,info_twinbed,info_unisex,info_womenonly,visitor_bathroom,visitor_bbq,visitor_bed,visitor_breakfast,visitor_bug,visitor_child,visitor_clean,visitor_concept,visitor_electricity,visitor_entertainment,visitor_facility,visitor_goodprice,visitor_hotwater,visitor_interior,visitor_kind,visitor_maintainance,visitor_mannertime,visitor_nearby,visitor_noise,visitor_parking,visitor_party,visitor_pet,visitor_photo,visitor_publictransport,visitor_rest,visitor_shade,visitor_sink,visitor_temperature,visitor_view,visitor_waterplay,visitor_wide,visitor_worthy,people_stadard,max_standard
메이플 글램핑 카라반 1호점,1,1,1,181500,4.91,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,2,1,1,0,1,0,0,0,2,4
메이플 글램핑 카라반 1호점,1,1,1,236500,4.91,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,21,19,1,0,13,0,52,0,0,0,0,1,10,0,1,17,53,0,0,16,0,0,50,0,54,45,11,0,19,12,13,0,3,5
메이플 글램핑 카라반 1호점,1,1,1,246500,4.91,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12,20,0,0,7,0,23,0,0,1,0,0,12,1,1,9,30,0,0,8,1,0,20,0,34,15,6,0,16,4,11,0,3,4
메이플 글램핑 카라반 1호점,1,1,1,219000,4.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,2,1,9,0,0,0,1,0,4,0,0,8,7,0,0,14,0,0,3,0,7,7,6,1,8,3,2,0,2,3
동화힐링캠프 글램핑,1,1,0,333500,4.42,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0,0,3,1,37,0,1,22,0,0,36,0,27,8,5,0,0,15,0,0,13,0,24,0,9,0,28,0,8,0,2,6
동화힐링캠프 글램핑,1,1,0,403500,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,49,0,0,10,0,49,0,0,22,0,0,25,0,44,21,18,0,0,30,0,0,17,0,50,1,3,1,32,1,14,0,2,6
동화힐링캠프 글램핑,1,1,0,403500,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,11,0,0,5,0,11,0,0,3,0,0,8,0,7,2,3,0,0,1,0,0,5,0,11,0,2,0,10,0,1,0,2,4
동화힐링캠프 글램핑,1,1,0,332000,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,8,0,0,1,0,7,0,0,2,0,0,5,0,7,4,5,0,0,9,0,0,4,0,4,1,0,0,5,0,0,0,2,6
동화힐링캠프 글램핑,1,1,0,283500,4.48,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,40,0,0,9,0,42,0,0,19,0,0,42,0,28,20,20,0,0,38,0,0,29,0,55,1,12,0,37,1,8,0,2,6
동화힐링캠프 글램핑,1,1,0,263500,4.33,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,0,0,9,0,42,0,0,13,0,0,55,0,28,31,12,0,0,29,0,0,13,0,31,2,36,0,33,0,5,0,2,6
동화힐링캠프 글램핑,1,1,0,179000,4.35,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,6,0,30,0,0,17,0,0,20,0,32,30,14,0,0,32,0,0,13,0,33,2,22,0,25,0,0,0,2,4
동화힐링캠프 글램핑,1,1,0,179000,4.43,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,1,0,21,0,0,13,0,0,23,0,17,25,7,0,0,19,0,0,13,0,23,6,18,0,16,1,5,0,2,4
동화힐링캠프 글램핑,0,1,0,219000,4.42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,6
동화힐링캠프 글램핑,0,1,0,89000,4.37,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,12,0,0,2,0,5,0,0,1,0,0,6,0,1,7,2,0,0,15,0,0,3,0,8,0,9,0,5,0,2,0,2,4
동화힐링캠프 글램핑,0,1,0,89000,4.76,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,15,0,0,0,0,6,0,0,3,0,0,7,0,5,9,0,0,0,12,0,0,1,0,8,0,5,0,9,0,1,0,2,4
동화힐링캠프 글램핑,0,1,0,139000,4.42,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,8,0,0,0,0,7,0,0,8,0,0,4,0,8,7,3,0,0,6,0,0,2,0,8,0,4,0,8,0,1,0,2,6
동화힐링캠프 글램핑,0,1,0,189000,4.42,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6
채움카라반글램핑리조트,1,1,1,84000,4.83,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,14,0,0,1,0,14,0,0,1,0,0,8,0,1,2,9,0,0,8,0,0,2,0,9,0,1,0,2,2,1,0,2,5
채움카라반글램핑리조트,1,1,1,279000,4.83,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,92,0,0,5,0,71,0,0,0,0,0,53,0,0,21,39,0,0,70,0,0,12,0,51,5,9,0,59,40,15,0,2,5
채움카라반글램핑리조트,1,1,1,299000,4.83,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,59,0,0,8,0,60,0,0,0,0,0,42,0,0,9,21,0,0,42,0,0,11,0,43,2,8,0,37,21,11,0,2,6
채움카라반글램핑리조트,1,1,1,324000,4.83,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,25,0,0,6,0,24,0,0,0,0,0,25,0,0,7,17,0,0,15,0,0,1,0,15,1,7,0,7,4,4,0,2,3
채움카라반글램핑리조트,1,1,1,294000,4.83,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,77,0,0,9,0,85,0,0,0,0,0,61,0,0,15,45,0,0,60,0,0,17,0,49,2,13,0,22,19,16,0,2,5
채움카라반글램핑리조트,1,1,1,274000,4.83,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,109,0,0,16,0,112,0,0,0,0,0,96,0,0,31,66,0,0,90,0,0,27,0,62,8,19,0,41,39,27,0,2,5
채움카라반글램핑리조트,1,1,1,294000,4.83,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,54,0,0,1,0,57,0,0,0,0,0,44,0,0,19,21,0,0,34,0,0,12,0,36,5,7,0,19,15,8,0,2,6
채움카라반글램핑리조트,1,1,1,234000,4.83,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,26,1,0,5,0,36,0,0,0,0,0,24,0,0,15,15,0,0,24,0,0,8,0,22,4,7,1,17,13,5,0,2,6
더플래츠글램핑,1,1,1,265000,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,0,7,0,27,0,0,0,0,0,18,0,0,18,13,0,0,9,0,0,34,0,28,7,15,0,24,1,11,0,2,2
더플래츠글램핑,1,1,1,177500,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,114,7,0,23,0,151,0,0,0,0,0,90,1,9,72,60,0,1,50,0,0,96,1,130,29,58,3,105,13,35,0,2,2
더플래츠글램핑,1,1,1,185000,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,7,0,7,0,70,0,0,0,0,0,41,3,7,33,26,0,1,23,0,0,34,0,49,5,20,3,37,8,15,0,2,2
더플래츠글램핑,1,1,1,202500,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,4,0,9,0,48,0,0,0,0,0,23,5,11,24,18,0,2,13,0,0,29,0,42,5,16,5,28,7,11,0,2,2
더플래츠글램핑,1,1,1,212500,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,86,6,0,25,0,121,0,0,0,0,0,81,2,12,69,48,0,2,29,0,0,78,0,84,24,45,2,80,13,32,0,2,4
더플래츠글램핑,1,1,1,220000,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,4,0,10,0,43,0,0,0,0,0,15,2,8,19,15,0,1,8,0,0,20,0,27,4,16,2,24,1,5,0,2,4
더플래츠글램핑,0,1,1,57000,4.57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
더플래츠글램핑,0,1,1,57000,4.57,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4
더드림핑 글램핑,1,1,0,354000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3,0,0,1,0,5,0,0,0,0,0,3,0,0,3,1,0,0,3,0,0,1,0,3,0,1,0,2,0,0,0,2,4
더드림핑 글램핑,1,1,0,354000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,2,4
더드림핑 글램핑,1,1,0,449000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,4
더드림핑 글램핑,1,1,0,449000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
더드림핑 글램핑,1,1,0,216500,4.04,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,30,0,0,4,0,10,0,0,0,0,0,25,0,1,18,12,0,0,27,0,0,22,0,13,4,10,0,29,1,5,0,2,4
더드림핑 글램핑,1,1,0,164000,4.01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,24,23,0,0,2,0,6,0,0,0,0,0,18,0,0,9,4,0,0,26,0,0,13,0,17,0,14,0,42,1,1,0,2,4
더드림핑 글램핑,1,1,0,306500,3.72,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,18,0,0,0,0,6,0,0,0,0,0,13,0,0,6,2,0,0,16,0,0,4,0,8,2,2,0,29,3,3,0,2,4
더드림핑 글램핑,1,1,0,306500,4.01,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,14,0,0,2,0,4,0,0,0,0,0,6,0,0,2,1,0,0,8,0,0,3,0,9,1,3,0,12,2,2,0,2,4
더드림핑 글램핑,1,1,0,531500,3.0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,4,8,0,0,2,0,2,0,0,0,0,0,4,0,0,2,0,0,0,5,0,0,2,0,3,1,2,0,4,2,2,0,4,8
더드림핑 글램핑,0,1,0,99000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,3,0,4,1,2,0,4,0,0,0,2,6
더드림핑 글램핑,0,1,0,99000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,1,0,2,0,3,0,3,0,1,0,2,6
더드림핑 글램핑,0,1,0,159000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,2,0,1,1,1,0,4,0,0,0,2,6
더드림핑 글램핑,0,1,0,159000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,2,0,0,0,2,6
더드림핑 글램핑,0,1,0,279000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
더드림핑 글램핑,1,1,0,286500,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,4
더드림핑 글램핑,1,1,0,286500,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,2,4
더드림핑 글램핑,1,1,0,379000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4
더드림핑 글램핑,1,1,0,379000,4.11,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,4
하늘숲글램핑,0,1,1,117525,4.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
하늘숲글램핑,1,1,1,132000,4.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,5
산중호걸 글램핑카라반,0,1,1,71500,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,0,0,6,0,37,0,0,0,0,0,28,0,0,17,14,0,0,21,0,0,20,0,25,2,9,0,29,14,5,0,2,5
산중호걸 글램핑카라반,1,1,1,237750,4.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,0,0,12,0,37,0,0,0,0,0,32,0,0,20,44,0,0,30,0,0,11,0,26,0,6,0,14,2,5,0,2,5
산중호걸 글램핑카라반,1,1,1,237750,4.88,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,8,0,34,0,0,0,0,0,33,0,1,12,38,0,0,25,0,0,9,0,26,1,5,0,7,3,6,0,2,5
산중호걸 글램핑카라반,1,1,1,237750,4.93,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,0,0,5,0,35,0,0,0,0,0,42,0,0,12,44,0,0,34,0,0,15,0,32,1,8,0,16,9,8,0,2,5
산중호걸 글램핑카라반,1,1,1,237750,4.81,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,2,0,28,0,0,0,0,0,30,0,0,9,31,0,0,20,0,0,10,0,25,0,3,1,10,4,3,0,2,5
산중호걸 글램핑카라반,1,1,1,237750,4.84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,4,0,25,0,0,0,0,0,28,0,0,11,32,0,0,24,0,0,6,0,32,1,3,0,5,2,8,0,2,5
산중호걸 글램핑카라반,1,1,1,204000,4.87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,3,0,28,0,0,0,0,0,35,0,0,10,37,0,0,19,0,0,3,0,15,3,15,0,16,3,5,0,2,6
산중호걸 글램핑카라반,1,1,1,219000,4.85,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,4,0,30,0,0,0,0,0,29,0,0,8,35,0,0,18,0,0,7,0,23,1,12,0,7,5,4,0,2,6
산중호걸 글램핑카라반,1,1,1,196500,4.88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,0,4,0,32,0,0,0,0,0,39,0,1,10,38,0,0,26,0,0,7,0,24,1,12,0,11,5,7,0,2,6
산중호걸 글램핑카라반,1,1,1,196500,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,0,0,6,0,42,0,0,0,0,0,61,0,0,21,64,0,0,38,0,0,16,0,35,3,14,0,13,16,12,0,2,6
산중호걸 글램핑카라반,1,1,1,196500,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0,0,8,1,41,0,0,0,0,0,51,0,0,15,56,0,0,32,0,0,22,0,29,1,15,0,15,8,11,0,2,6
산중호걸 글램핑카라반,1,1,1,219000,4.92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,5,1,30,0,0,1,0,1,35,0,1,8,38,0,0,25,0,0,11,0,35,1,9,0,13,5,4,0,2,6
산중호걸 글램핑카라반,1,1,1,196500,4.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,0,0,10,0,38,0,0,0,0,0,46,0,0,15,45,0,0,34,0,0,9,0,16,0,17,0,9,5,8,0,2,6
산중호걸 글램핑카라반,1,1,1,241500,4.86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,5,1,39,0,0,0,0,0,40,0,1,13,48,0,0,33,0,0,14,0,31,1,8,0,15,7,8,0,2,6
산중호걸 글램핑카라반,1,1,1,226500,4.88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0,0,7,0,35,0,0,0,0,0,31,0,0,14,40,0,0,26,0,0,10,0,27,2,5,0,19,7,7,0,2,6
산중호걸 글램핑카라반,1,1,1,226500,4.94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,1,0,32,0,0,0,0,0,35,0,1,14,43,0,0,28,0,0,12,0,26,1,8,0,12,13,1,0,2,6
산중호걸 글램핑카라반,1,1,1,204000,4.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,0,0,4,0,49,0,0,0,0,0,58,0,1,15,55,0,0,43,0,0,9,0,39,1,13,0,21,8,10,0,2,6
산중호걸 글램핑카라반,1,1,1,196500,4.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0,0,5,0,36,0,1,0,0,0,40,0,0,10,43,0,0,28,0,0,7,0,34,1,9,1,18,5,7,0,2,6
산중호걸 글램핑카라반,1,1,1,219000,4.95,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,35,0,0,5,0,45,0,0,0,0,0,50,0,0,15,57,0,0,34,0,0,14,0,34,1,15,1,24,8,12,0,2,6
